odf_name,odf_calories,odf_carbs,odf_sugar,odf_protein,odf_fat,odf_update_dt
냉면_비빔냉면,100,13.35,4.02,5.67,2.64,2018-12-31
냉면_회냉면_홍어,148,22.21,2.84,5.81,4.02,2018-12-31
떡국,84,16.37,0.08,3.43,0.53,2018-12-31
떡만두국,111,15.47,0.01,3.53,3.91,2018-12-31
라면,82,13.65,0,1.72,2.28,2019-12-31
라면_달걀,108,17.33,0.18,2.61,3.18,2017-12-31
라면_떡,96,15.27,0,2.04,2.92,2019-12-31
만두_고기만두,159,17.4,0.16,12.38,4.45,2018-12-31
만두_군만두,234,25.57,2.77,7.03,11.5,2018-12-31
만두_김치만두,152,17.02,0.35,10.24,4.76,2018-12-31
만두_물만두,195,15.61,2.13,8.06,11.13,2018-12-31
만두국_사골,87,8.94,0.06,3.74,4,2018-12-31
메밀국수_온면,63,12.06,0,3.14,0.29,2017-12-31
수제비,58,11.08,0,2.31,0.52,2018-12-31
스파게티_미트볼,180,17.62,0.89,7.34,8.88,2018-12-31
우동_일식,158,30.48,0.02,1.78,3.22,2018-12-31
우동볶음,128,24.79,0.43,2.8,2.01,2017-12-31
월남쌈,118,12.25,5.5,5.94,4.97,2017-12-31
자장면,88,14.37,6.07,2.69,2.22,2018-12-31
짬뽕,58,8.26,1.57,2.79,1.54,2018-12-31
쫄면,129,23.26,3.51,3.21,2.52,2018-12-31
칼국수,77,14.9,0,3.3,0.49,2017-12-31
칼국수_바지락,82,15.97,0.18,3.43,0.53,2018-12-31
콩국수,81,8.92,0.24,3.9,3.35,2018-12-31
닭죽,44,7.14,0,2.68,0.57,2019-12-31
스프_양송이버섯,105,8.06,2.52,2.41,7.04,2019-12-31
오리죽,155,19.95,0,7.5,4.99,2017-12-31
전복죽,79,9.62,0,1.82,3.73,2018-12-31
채소죽,43,7.62,0.17,1.69,0.69,2019-12-31
팥죽,81,16.66,0.02,3.17,0.19,2018-12-31
호박죽,49,6.58,3.56,1.93,1.71,2018-12-31
흑임자죽,61,3.64,0.75,1.1,4.73,2018-12-31
갈비탕,54,0.4,0.11,8.51,2.06,2018-12-31
감자국,21,3.67,0.85,0.9,0.26,2019-12-31
곰탕,24,0.11,0,3.43,1.12,2018-12-31
곰탕_우거지,25,2.6,0.33,2.37,0.6,2017-12-31
굴국_무,25,2.93,0.14,2.41,0.36,2017-12-31
김치국,23,2.63,0.03,1.34,0.76,2019-12-31
김치국_콩나물,12,1.15,0.49,0.82,0.47,2019-12-31
내장탕,71,1.68,0.05,5.82,4.52,2018-12-31
냉국_미역,37,7.51,4.49,0.19,0.67,2017-12-31
냉국_미역_오이,6,0.85,0.69,0.37,0.15,2019-12-31
달걀국,13,0.69,0,0.93,0.74,2019-12-31
달걀탕_순두부,29,0.94,0,1.78,2.04,2017-12-31
닭곰탕,51,2,0.3,7.51,1.42,2019-12-31
도가니탕,40,0.82,0,8.35,0.33,2018-12-31
된장국_감자,25,3.7,0.77,1.09,0.6,2017-12-31
된장국_냉이,22,2.2,0.3,1.71,0.66,2017-12-31
된장국_미역,24,2.28,0.61,1.56,0.97,2017-12-31
된장국_배추,20,2.58,0,1.46,0.4,2019-12-31
된장국_시금치,9,0.98,0.11,1.02,0.17,2019-12-31
된장국_시래기,15,2.03,0,1.31,0.22,2019-12-31
된장국_쑥,15,1.52,0.73,1.22,0.47,2019-12-31
된장국_아욱,20,1.59,0.11,2.28,0.56,2019-12-31
된장국_얼갈이배추,9,0.85,0.06,0.5,0.41,2017-12-31
된장국_우거지,20,0.82,0.63,2.77,0.59,2015-06-30
된장국_콩나물,31,2.62,0.53,2.58,1.11,2017-12-31
된장국_해물,28,2.68,0.45,2.1,0.98,2017-12-31
된장국_호박,31,1.41,0.49,3.34,1.31,2017-12-31
된장국_호박잎,7,0.54,0.07,0.4,0.32,2017-12-31
무국_소고기,15,1.1,0,1.33,0.64,2019-12-31
무국_홍합,25,0.86,0.24,0.79,2.03,2017-12-31
묵국_메밀묵,22,3.57,0.28,1,0.4,2017-12-31
미역국,12,0.87,0.27,0.65,0.61,2019-12-31
미역국_대합,11,0.56,0.01,1.23,0.45,2017-12-31
미역국_새우,16,1.83,0,1.09,0.46,2017-12-31
미역국_소고기,13,0.82,0.52,1.86,0.26,2019-12-31
배추국_소고기,16,1.14,0,1.84,0.41,2019-12-31
북어국,28,0.84,0.12,3.89,0.98,2019-12-31
사골국,55,2.81,0,5.56,2.42,2017-12-31
삼계탕,101,3.84,0.45,10.68,4.8,2018-12-31
새우탕,33,2,0.06,5.17,0.44,2017-12-31
설렁탕,24,0.36,0,4.26,0.58,2018-12-31
순대국,85,14.95,0.26,2.35,1.75,2018-12-31
어묵국(어묵탕),31,3.83,0.07,1.49,1.03,2018-12-31
오징어국,18,0.73,0.24,2.22,0.73,2019-12-31
육개장,30,1.49,0.76,3.68,0.99,2018-12-31
육개장_닭고기,20,1.41,0.57,2.74,0.42,2019-12-31
장어탕,67,3.68,2.66,4.32,3.91,2019-12-31
재첩국,23,4.54,0,0.67,0.29,2017-12-31
조개국,16,0.25,0.18,1.67,0.89,2019-12-31
콩나물국,6,0.61,0.16,0.74,0.09,2019-12-31
토란국,16,2.61,0.27,1,0.12,2019-12-31
해장국_뼈다귀,26,1.06,0.63,3.19,0.97,2019-12-31
해장국_선지,29,1.23,0,3.86,0.96,2018-12-31
동태국,17,1.4,0,2.42,0.16,2017-12-31
갈치찌개,38,1.95,0.98,5.27,1,2017-12-31
감자탕,71,2.27,0,6.31,4.06,2018-12-31
김치전골,73,5.68,0.79,3.12,4.23,2017-12-31
김치찌개_꽁치,89,3.54,0.7,7.14,5.18,2017-12-31
김치찌개_돼지고기,45,1.04,0.05,4.25,2.71,2018-12-31
김치찌개_어묵,38,6.31,1.6,1.82,0.59,2017-12-31
김치찌개_참치,51,2.9,0.15,3.59,2.82,2019-12-31
김치찌개_햄,31,3.17,0.04,1.47,1.39,2019-12-31
꽃게탕,17,1.44,0.95,1.86,0.41,2019-12-31
낙지전골,51,3.72,0,6.5,1.14,2017-12-31
동태찌개,44,1.72,0.13,6.11,1.37,2018-12-31
돼지고기찌개,48,2.26,0.13,6.25,1.51,2017-12-31
된장찌개,46,4.44,0,3.38,1.63,2018-12-31
된장찌개_냉이,19,2.91,0.55,1.17,0.31,2017-12-31
된장찌개_달래,35,3.81,0.41,3.18,0.79,2017-12-31
된장찌개_두부,41,2.56,0.99,3.25,1.96,2017-12-31
된장찌개_바지락,23,1.18,0.56,2.88,0.72,2017-12-31
두부찌개_고추장,52,3.18,0.8,4.01,2.63,2019-12-31
두부찌개_소고기_고추장,58,6.73,0.17,4.56,1.42,2017-12-31
두부찌개_소고기_된장,55,3.5,0.72,5.71,1.98,2017-12-31
매운탕_대구,22,0.19,0,4.49,0.4,2019-12-31
매운탕_해물,35,2.51,0.45,4.85,0.64,2019-12-31
버섯전골,78,4.78,1.18,5.14,4.24,2017-12-31
부대찌개,123,10.27,0.18,5.86,6.49,2019-12-31
샤브샤브_버섯,30,1.57,0.53,3.88,0.9,2017-12-31
샤브샤브_소고기,43,1.8,1.49,5.38,1.62,2019-12-31
소고기전골,63,0.46,0.05,7.89,3.24,2019-12-31
순두부찌개_김치,35,2.17,0.32,2.98,1.59,2017-12-31
알탕,39,1.74,0,6.37,0.74,2018-12-31
오리백숙,112,0.5,0.25,10.59,7.5,2019-12-31
오리탕,121,6.08,3.58,9.5,6.56,2019-12-31
오징어찌개,34,4.77,0.45,3.3,0.22,2017-12-31
청국장찌개,47,1.92,0,5.03,2.11,2018-12-31
추어탕,54,3.07,0,3.24,3.18,2018-12-31
콩비지찌개,69,3.57,3.25,6.74,3.08,2019-12-31
호박찌개_고추장,41,5.96,0.56,2.08,0.99,2017-12-31
고구마_찐고구마,139,32.47,16.32,1.67,0.24,2019-12-31
가오리찜,102,0.46,0.06,21.99,1.39,2017-12-31
갈비찜_소고기,85,6.95,0.75,7.25,3.17,2019-12-31
감자_찐감자,70,15.01,0.86,2.16,0.16,2019-12-31
깻잎찜,97,5.96,1.33,5.21,5.86,2019-12-31
꼬막찜,96,6.97,1.03,12.03,2.28,2019-12-31
꽈리고추찜,104,17.69,0.44,3.59,2.09,2017-12-31
달걀찜_새우젓,58,0.47,0,4.98,4.04,2019-12-31
달걀찜_우유,105,3.8,2.55,8.23,6.31,2017-12-31
닭찜,107,0.6,0,12.37,6.09,2019-12-31
돼지갈비찜,194,7.44,0.13,13.29,12.32,2017-12-31
사태찜_소고기,110,3.67,0.13,12.1,5.17,2017-12-31
수육_소고기,166,2.04,0.11,28.43,4.94,2017-12-31
순대,187,35.73,1.39,2.75,3.64,2018-12-31
아귀찜,84,7.26,2.73,6.72,3.13,2019-12-31
애호박찜,181,21.18,1.81,9.5,6.48,2017-12-31
옥수수_찐옥수수,185,34.2,2.36,6.68,2.42,2019-12-31
족발,233,0.93,0,26.04,13.91,2018-12-31
코다리찜,94,6.08,2.5,14.49,1.35,2017-12-31
콩나물찜_해물,56,4.97,0,6.67,1.01,2019-12-31
풋고추찜,51,8.27,1.44,2.31,0.99,2017-12-31
가자미구이,123,0.66,0,18.7,5.02,2019-12-31
갈비구이_소고기,241,1.59,0.26,25.91,14.55,2019-12-31
갈치구이_기름,138,0.6,0,21.54,5.48,2019-12-31
고등어구이_석쇠,340,3.79,0,23.38,25.69,2017-12-31
곱창구이_소고기,184,4.71,1.11,14.89,11.73,2019-12-31
김구이_조미김,470,29,0.2,20.4,30.2,2019-12-31
꼬치구이_닭고기_대파,245,10.35,1.66,17.85,14.7,2018-12-31
닭구이,257,7.8,0,26.21,13.39,2017-12-31
닭발구이,196,9.7,0.31,18.15,9.41,2017-12-31
떡갈비,202,2.46,0.4,21.38,11.82,2019-12-31
런천미트구이,303,3.27,1.71,17.56,24.38,2017-12-31
뱅어포구이,374,25.07,15.91,34.37,15.17,2017-12-31
버섯구이,52,4.78,0.11,5.16,1.38,2017-12-31
버섯구이_새송이버섯,84,11.66,4.54,4.29,2.21,2017-12-31
버섯구이표고버섯,100,18.14,1.4,4.34,1.06,2017-12-31
삼겹살구이,467,0.35,0,22.56,41.69,2019-12-31
삼겹살구이_고추장,403,12.63,5.73,14.21,32.83,2017-12-31
삼치구이,178,1.45,0.22,21.42,9.57,2017-12-31
새우구이,145,2.82,0.03,23.41,4.44,2017-12-31
소불고기,170,4.26,3.24,16.41,9.66,2018-12-31
스테이크_소등심,194,0.14,0,30.22,8.07,2017-12-31
스테이크_소안심,183,0.13,0,34.82,4.83,2017-12-31
오리고기구이,293,4.89,0,24.06,19.7,2017-12-31
오리불고기,145,9.05,6.29,6.75,9.05,2019-12-31
장어구이_고추장,259,6.18,0.44,19.82,17.21,2018-12-31
조개구이_키조개,130,10.44,3.6,17.43,2.07,2018-12-31
조기구이,177,0.44,0,19.33,10.86,2017-12-31
참치구이_머리,193,1.4,0,26.56,8.98,2018-12-31
치킨데리야끼,208,15.21,0.11,16.54,9.01,2017-12-31
함박스테이크,174,7.19,0.06,12.1,10.73,2019-12-31
가지전,123,8.88,0.84,5.48,7.28,2017-12-31
감자전,133,16.79,1.81,1.72,6.54,2019-12-31
고구마전,227,35.99,14.26,2.92,7.98,2017-12-31
김치전,134,19.01,4.21,5.05,4.2,2019-12-31
달걀말이,193,1.45,0,17.21,13.21,2019-12-31
달걀부침(달걀후라이),208,5.15,0.03,15.73,13.78,2017-12-31
달걀부침(달걀후라이)_햄,277,8.06,0,12.71,21.59,2019-12-31
두부부침,140,2.07,0.24,10.92,9.77,2019-12-31
맛살전,165,19.69,1.14,7.48,6.24,2017-12-31
메밀전,161,34.79,0.3,4.02,0.64,2017-12-31
버섯전_표고버섯,181,12.74,1.89,10.13,9.98,2019-12-31
부추전,167,27.86,8.28,4.63,4.17,2019-12-31
산적_돼지고기,200,1.55,0.06,29.06,8.56,2017-12-31
스크램블드에그,216,2.56,0.45,11.81,17.59,2017-12-31
애호박전,122,6.73,2.32,4.35,8.62,2019-12-31
완자전_돼지고기,139,6.51,2.56,14.78,5.95,2017-12-31
완자전_소고기,162,4.68,0.2,18.73,7.56,2017-12-31
완자전_참치,173,13.57,3.69,15,6.49,2017-12-31
완자전_해물,222,18.04,3.41,11.46,11.61,2017-12-31
채소전,145,22.59,2.06,3.57,4.5,2019-12-31
파전_해물,171,18.29,0.82,5.5,8.4,2019-12-31
감자볶음,100,12.41,3.37,1.75,4.84,2019-12-31
감자볶음_채소,108,13.1,0.12,2.04,5.22,2017-12-31
건새우볶음,304,5.4,4.05,41.55,12.95,2018-12-31
곱창볶음_돼지고기,130,18.52,3.27,7.23,3,2017-12-31
김치볶음,106,7.27,4.45,1.38,7.94,2019-12-31
김치볶음_참치,122,7.12,1.83,8.33,6.68,2019-12-31
낙지볶음,91,8.6,7.91,5.77,3.77,2019-12-31
닭발볶음,186,11.72,6.37,13.8,9.38,2017-12-31
닭볶음(닭갈비),186,7.93,0.77,13.98,10.96,2019-12-31
닭볶음(닭갈비)_닭가슴살_피망,122,1.38,0.29,16.39,5.65,2018-12-31
당근볶음,95,7.79,4.5,0.93,6.63,2017-12-31
돼지고기볶음_김치,161,5.93,2.9,11.81,10.05,2017-12-31
돼지고기볶음_채소,169,8.63,6.67,16.57,7.59,2017-12-31
돼지고기볶음(제육볶음),195,4.73,0.38,12.15,14.19,2018-12-31
떡볶이,144,25.96,4.4,3.51,2.96,2018-12-31
떡볶이_채소,258,57.06,1.97,3.12,1.88,2017-12-31
라볶이,134,20.14,0.94,2.83,4.71,2019-12-31
마늘쫑볶음,89,13.17,5.29,3.25,2.54,2017-12-31
마늘쫑볶음_멸치,117,15.42,5.7,7.54,2.78,2017-12-31
마파두부,109,5.36,2.45,7.29,6.48,2018-12-31
멸치볶음,276,13.62,11.6,39.44,7.08,2018-12-31
멸치볶음_견과류,414,18.36,14.02,30.4,24.32,2017-12-31
멸치볶음_꽈리고추,253,7.96,6.24,23.62,14.08,2017-12-31
멸치볶음_마늘쫑,277,12.42,4.26,32.4,10.84,2017-12-31
멸치볶음_풋고추,190,13.3,9.02,20.62,6,2018-12-31
문어볶음_고추장,88,8.62,5.44,10.97,1.02,2017-12-31
미역줄기볶음,77,4.85,0.55,0.96,5.95,2019-12-31
버섯볶음_느타리,94,6.78,4.24,2.8,6.2,2019-12-31
버섯볶음_새송이버섯,121,9.29,3.75,2.95,8.03,2017-12-31
브로콜리볶음,51,5.53,1.42,4.42,1.28,2017-12-31
삼겹살볶음_묵은지김치,151,8.4,3.62,5.76,10.49,2017-12-31
새우볶음,83,5.96,3.99,9.91,2.21,2017-12-31
소고기볶음_고추장,197,10.7,9.7,14.36,10.79,2017-12-31
소고기볶음_버섯,144,6.92,2.85,11.59,7.73,2017-12-31
소고기볶음_채소,126,6.44,4.53,12.8,5.4,2017-12-31
소시지볶음,280,14.41,5.83,11.94,19.38,2019-12-31
애호박볶음,59,5.3,0.42,1.32,3.62,2019-12-31
양파볶음,56,9.51,9.15,0.99,1.54,2017-12-31
어묵볶음,197,24.33,6.31,8.41,7.29,2019-12-31
어묵볶음_채소,152,17.2,1.26,6.33,6.41,2017-12-31
오징어볶음,128,7.43,1.93,9.85,6.52,2019-12-31
유산슬,86,4.1,2.15,7.54,4.4,2017-12-31
잔멸치볶음_견과류,388,22.64,14.54,24.34,22.22,2017-12-31
잔멸치볶음_꽈리고추,293,9.24,5.84,24.78,17.48,2017-12-31
잔멸치볶음_풋고추,256,16.94,10.62,28.24,8.32,2017-12-31
잔멸치볶음_홍고추_풋고추,228,5.72,3.76,33.28,8,2018-12-31
잡채,146,24.26,0.73,4.71,3.3,2018-12-31
잡채_어묵,148,26.13,1.5,2.34,3.78,2017-12-31
잡채_콩나물,67,12.55,9.37,1.93,0.97,2017-12-31
죽순볶음_소고기,120,3.78,2.07,13.68,5.59,2017-12-31
팔보채,90,3.42,2.09,12.42,2.9,2018-12-31
풋고추볶음,70,8.25,4.34,1.93,3.23,2017-12-31
햄볶음_채소,183,9.6,3.33,10.47,11.37,2017-12-31
감자조림,114,18.1,7.68,2.4,3.52,2019-12-31
고등어조림,141,4.1,3.39,11.25,8.84,2019-12-31
꽁치조림,244,5.14,4.05,15.52,17.87,2019-12-31
닭볶음탕,111,8.52,0.42,11.91,3.22,2019-12-31
닭조림,197,6.57,0.5,18.03,10.9,2019-12-31
닭조림_고추장,152,13.25,2.04,9.12,6.94,2017-12-31
두부조림,143,4.4,3.64,9.64,9.66,2019-12-31
땅콩조림,483,19.95,9.85,18.75,36.4,2019-12-31
멸치조림,318,8.93,7.35,40.92,13.22,2017-12-31
무조림,48,4.29,3.87,2.26,2.38,2017-12-31
미트볼조림,221,12.95,10.52,18.15,10.73,2017-12-31
버섯조림,60,6.23,1.95,4.38,2,2017-12-31
병어조림,112,4.87,0.22,12.46,4.78,2017-12-31
삼치조림,125,2.61,2.03,15.88,5.63,2017-12-31
양미리조림,65,9.09,2.2,5.76,0.66,2017-12-31
어묵조림,159,23.16,2.43,5.83,4.73,2017-12-31
연근조림,174,29.42,2.78,2.68,5.1,2018-12-31
오징어조림,137,12.45,6.85,16.55,2.37,2017-12-31
오징어채조림,240,25.36,13.78,23.52,4.9,2017-12-31
우엉조림,188,34.8,28.43,4.8,3.33,2019-12-31
장조림_달걀,138,8.67,6.87,9.85,7.12,2019-12-31
장조림_메추리알,203,6.3,3.48,14.25,13.41,2019-12-31
장조림_소고기,69,4.84,1,10.41,0.86,2017-12-31
장조림_소고기_메추리알,157,15.56,3.32,11.69,5.39,2019-12-31
쥐포조림,276,36.12,23.37,13.03,8.86,2017-12-31
코다리조림,86,4.16,3.67,16.46,0.4,2017-12-31
콩조림(콩자반),281,34.83,3.53,17.97,7.73,2018-12-31
감자튀김,312,35.15,0.37,4.55,17.01,2019-12-31
김튀김,522,54.36,0.14,11,28.9,2017-12-31
다시마튀각,462,47.32,17.24,8.44,26.52,2017-12-31
닭다리튀김_간장,323,17.88,3.71,18.86,19.6,2017-12-31
닭튀김_날개,257,10.49,0,17.17,16.27,2017-12-31
떡강정,249,47.89,5.34,3.79,4.72,2017-12-31
미역튀각,443,21.14,11.36,13.24,33.9,2017-12-31
탕수육_새우,116,13.02,6.44,6.65,4.2,2017-12-31
가지나물,36,4.18,2.34,1.42,1.5,2019-12-31
고구마줄기나물,83,4.1,0,0.98,7,2019-12-31
고사리나물무침,90,6.28,0.5,3.78,5.52,2019-12-31
고춧잎나물무침,88,7.14,1.51,4.41,4.69,2017-12-31
깻잎나물,78,5.04,2.04,2.68,5.18,2019-12-31
냉이나물,111,15.7,10.45,5.02,3.07,2017-12-31
도라지나물무침,130,13.12,0.9,2.48,7.52,2019-12-31
머위대나물무침,58,4.76,0.34,3.96,2.56,2019-12-31
무나물무침,21,3.64,3.3,0.62,0.46,2019-12-31
방풍나물무침,76,10.74,2.91,4.39,1.73,2017-12-31
배추나물,61,8.45,6.24,2.01,2.19,2017-12-31
비름나물무침,73,5.7,0.86,3.46,4.05,2017-12-31
숙주나물,35,2.96,1.58,2.22,1.58,2019-12-31
시금치나물,69,3.36,0.1,3.74,4.46,2019-12-31
시래기나물무침,114,7.74,0.54,4.32,7.28,2019-12-31
씀바귀나물무침,97,16.57,1.28,3.87,1.73,2017-12-31
열무나물,82,4.76,0.6,3.91,5.3,2017-12-31
열무나물_된장,68,4.09,0.73,3.71,4.09,2017-12-31
유채나물,96,7.82,1.98,5.8,4.6,2017-12-31
참나물,60,4.14,0.67,2.51,3.69,2017-12-31
취나물_된장,44,4.12,0.84,3.08,1.66,2017-12-31
취나물_취나물(마른것),89,6.4,0,3.62,5.4,2019-12-31
콩나물무침,69,3.2,0.5,3.86,4.54,2019-12-31
콩나물무침_고춧가루,93,5.93,1.9,3.93,5.93,2017-12-31
토란대나물무침,68,4.22,0.39,5.14,3.38,2017-12-31
호박오가리나물무침,201,21.46,6.82,6.14,10.01,2017-12-31
가죽나물무침,76,10.05,3.81,5.83,1.35,2017-12-31
겉절이_배추,55,6.58,1.3,2.28,2.14,2019-12-31
겉절이_상추,61,5.26,2.98,2.36,3.41,2019-12-31
겉절이_열무,58,5.38,2.26,2.4,2.94,2017-12-31
겉절이_치커리,56,4.4,3.71,1.49,3.65,2017-12-31
골뱅이무침_소면,109,18.91,3.57,5.01,1.47,2018-12-31
굴무침,77,7.3,2.74,6.68,2.31,2017-12-31
김무침,259,19.33,5.73,21.17,10.73,2019-12-31
낙지무침,77,3.96,0.14,12.41,1.24,2017-12-31
냉채_닭고기,90,5,4.8,13.08,1.95,2017-12-31
다시마무침,48,6.8,0,2.57,1.18,2017-12-31
달래무침,63,6.07,3.83,2.92,3.02,2017-12-31
도라지생채,77,16.15,5.25,2.06,0.51,2019-12-31
두릅무침_초고추장,67,7.89,4.54,2.16,3.01,2017-12-31
마늘쫑무침,106,12.77,7.47,2.73,4.93,2018-12-31
무말랭이무침,121,22.5,4.1,4.2,1.55,2018-12-31
무생채,49,7.33,1.78,2.43,1.11,2019-12-31
무생채_굴,50,5.92,4.04,3.68,1.26,2017-12-31
묵무침_도토리묵,74,10.92,1.82,0.93,2.95,2019-12-31
물회_오징어,49,3.26,2.1,6.19,1.2,2019-12-31
미나리무침,46,5.41,2.24,1.31,2.13,2017-12-31
미역초무침,35,5.24,1.3,1.18,1.02,2019-12-31
민들레잎무침,81,12.32,8.16,2.69,2.33,2017-12-31
버섯무침_느타리버섯,59,3.44,0.09,2.74,3.77,2017-12-31
부추무침,92,6.25,3.06,3.5,5.92,2019-12-31
